Animal_ID,Diet,Extraction_Day,Conc. ng/ul,ul RNA needed for 1 ug
NM-15-226,Tangerine,1,716.22,1.396
NM-15-217,Tangerine,1,385.95,2.591
NM-15-128,Tangerine,1,231.04,4.328
NM-15-215,Tangerine,1,432,2.315
NM-15-225,Tangerine,2,215.79,4.634
NM-15-216,Tangerine,2,417.52,2.395
NM-15-198,Tangerine,2,589.51,1.696
NM-15-192,Tangerine,2,320.46,3.121
NM-15-160,Tangerine,3,383.11,2.61
NM-15-242,Tangerine,3,648.08,1.543
NM-15-195,Tangerine,3,602.49,1.66
NM-15-197,Tangerine,3,645.93,1.548
NM-15-170,Red,1,307,3.257
NM-15-204,Red,1,463.39,2.158
NM-15-166,Red,1,346.14,2.889
NM-15-156,Red,2,407.62,2.453
NM-15-133,Red,2,262.31,3.812
NM-15-157,Red,2,302.91,3.301
NM-15-177,Red,2,379.26,2.637
NM-15-199,Red,3,408.27,2.449
NM-15-175,Red,3,538.94,1.855
NM-15-202,Red,3,384.4,2.601
NM-15-203,Red,3,348.28,2.871
NM-15-159,Control,1,418.25,2.391
NM-15-182,Control,1,439.08,2.277
NM-15-240,Control,1,286.25,3.493
NM-15-120,Control,1,190.81,5.241
NM-15-208,Control,2,196.12,5.099
NM-15-137,Control,2,275.17,3.634
NM-15-245,Control,2,336.77,2.969
NM-15-183,Control,3,359.32,2.783
NM-15-136,Control,3,251.03,3.984
NM-15-122,Control,3,365.49,2.736
NM-15-188,Control,3,402.93,2.482
