mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
1014.1389_0.88,-38410.12681159418,334059.9166666667,372470.04347826086,rel_abund,Control,Tomato,12,23,-2.1156707710828213,0.0445,25.022359144704986,-75799.47583738358,-1020.7777858047908,T-test,two.sided,*
103.0995_7.84,75315.20652173914,250568.25,175253.04347826086,rel_abund,Control,Tomato,12,23,2.5638265917542777,0.0212,15.521978962675774,12884.44130690503,137745.97173657326,T-test,two.sided,*
103.0995_7.9,56917.28260869565,282974.5,226057.21739130435,rel_abund,Control,Tomato,12,23,2.2095090314842762,0.0404,17.949219739489322,2786.2400718305444,111048.32514556075,T-test,two.sided,*
103.0995_7.97,102153.39492753625,409344.9166666667,307191.52173913043,rel_abund,Control,Tomato,12,23,2.6861807327617244,0.0158,16.65632317653811,21792.42878242662,182514.3610726459,T-test,two.sided,*
104.0263_3.51,-15009.1884057971,25408.333333333332,40417.52173913043,rel_abund,Control,Tomato,12,23,-2.879167571745692,0.00702,32.27210890749969,-25624.273808236474,-4394.103003357729,T-test,two.sided,**
1083.4952_5.77,95487.49637681158,415653.5833333333,320166.08695652173,rel_abund,Control,Tomato,12,23,2.216774739102997,0.0393,18.567574382546425,5188.232761627674,185786.7599919955,T-test,two.sided,*
110.0732_4.91,30400.96376811595,144094.83333333334,113693.86956521739,rel_abund,Control,Tomato,12,23,2.2700545027956998,0.0343,20.1834358289725,2481.6466690123843,58320.28086721952,T-test,two.sided,*
1112.6001_9,8314.652173913044,28724,20409.347826086956,rel_abund,Control,Tomato,12,23,2.125967318627524,0.0429,26.60061563057329,284.30749742673817,16344.99685039935,T-test,two.sided,*
1174.6373_8.84,9024.90217391304,112653.25,103628.34782608696,rel_abund,Control,Tomato,12,23,2.5701024137232693,0.0167,24.40131468591287,1783.8347542531671,16265.969593572914,T-test,two.sided,*
119.0738_3.34,19065.155797101455,81451.41666666667,62386.260869565216,rel_abund,Control,Tomato,12,23,2.60505965100376,0.0142,29.59718164235712,4110.229034342729,34020.08255986018,T-test,two.sided,*
125.0143_1.01,235362.97463768115,1587200.5833333333,1351837.608695652,rel_abund,Control,Tomato,12,23,2.7953962331509143,0.00935,27.45260551116886,62738.908916629385,407987.0403587329,T-test,two.sided,**
131.0694_0.56,2141848.6775362324,6096326.416666667,3954477.7391304346,rel_abund,Control,Tomato,12,23,4.5750255454060484,1.1e-4,25.20570842353007,1178051.829474746,3105645.5255977185,T-test,two.sided,***
131.0942_2.63,88684.44927536236,436565.6666666667,347881.2173913043,rel_abund,Control,Tomato,12,23,3.6564679631493,0.00147,21.063390571276738,38254.466087930465,139114.43246279424,T-test,two.sided,**
132.0429_2.65,78910.77173913043,204881.25,125970.47826086957,rel_abund,Control,Tomato,12,23,2.750435278185006,0.0123,20.177656255423315,19097.648108092682,138723.8953701682,T-test,two.sided,*
146.0688_0.62,-1627790.9347826093,7111172.5,8738963.43478261,rel_abund,Control,Tomato,12,23,-2.154829707283414,0.0386,32.98025542321833,-3164729.500621878,-90852.36894334022,T-test,two.sided,*
146.996_0.63,221773.95652173914,1118777,897003.0434782609,rel_abund,Control,Tomato,12,23,2.3097111884556294,0.0287,27.43849515463511,24908.41324116089,418639.4998023174,T-test,two.sided,*
150.0675_5.82,14003.869565217392,33043,19039.130434782608,rel_abund,Control,Tomato,12,23,2.730585510080447,0.0173,12.901556717187397,2915.770111542373,25091.969018892414,T-test,two.sided,*
150.0678_4.68,10135.579710144928,25759.666666666668,15624.08695652174,rel_abund,Control,Tomato,12,23,5.005267532665107,1.25e-4,16.19935897755787,5847.097933777729,14424.061486512128,T-test,two.sided,***
